front,back
海星,ヒトデ
凌駕,りょうが
薄荷,はっか
帰依,きえ
鵞毛,がもう
齟齬,そご
屠所,としょ
贖罪,しょくざい
撥ねる,はねる
恣意,しい
矜持,きょうじ
贔屓,ひいき
諫言,かんげん
暫時,ざんじ
眩暈,めまい
嗄れる,かれる
齧歯類,げっしるい
沛然,はいぜん
倦怠,けんたい
闊歩,かっぽ
彷徨,ほうこう
呟く,つぶやく
譫言,うわごと
疣,いぼ
靄,もや
臍,へそ
燦然,さんぜん
悍馬,かんば
弛緩,しかん
矮小,わいしょう
懺悔,ざんげ
瞠目,どうもく
嫋やか,たおやか
脆弱,ぜいじゃく
傲慢,ごうまん
諧謔,かいぎゃく
漸進,ぜんしん
麒麟,きりん
忸怩,じくじ
蹂躙,じゅうりん
囁く,ささやく
嗤う,わらう
厭う,いとう
艱難,かんなん
忿怒,ふんぬ
冀望,きぼう
洒落,しゃれ
嚆矢,こうし
喧騒,けんそう
鱗,うろこ
靡く,なびく
膾炙,かいしゃ
洶洶,きょうきょう
穿つ,うがつ
驟雨,しゅうう
謳う,うたう
矍鑠,かくしゃく
贓物,ぞうぶつ
騙る,かたる
狡猾,こうかつ
尤も,もっとも
漁る,あさる
蔑む,さげすむ
慚愧,ざんき
謗る,そしる
綽名,あだな
窶れる,やつれる
醍醐味,だいごみ
辟易,へきえき
跼蹐,きょくせき
囂しい,かまびすしい
轆轤,ろくろ
吃音,きつおん
囚われる,とらわれる
鼾,いびき
呪詛,じゅそ
朦朧,もうろう
愕然,がくぜん
麤,あらい
轍,わだち
玻璃,はり
鮟鱇,あんこう
雫,しずく
窒息,ちっそく
顰める,しかめる
蠢く,うごめく
眩しい,まぶしい
夙に,つとに
顛末,てんまつ
馴染む,なじむ
諍い,いさかい
縒る,よる
悴む,かじかむ
梳く,すく
踵,かかと
嚏,くしゃみ
項垂れる,うなだれる
貌,かたち
執拗,しつよう
瞑る,つぶる
喉元,のどもと
罹患,りかん
罅,ひび
顎,あご
艶,つや
凪,なぎ
